ID,Length,Width,Height,Surface_Area,Volume,Source_X,Source_Y,Source_Z,Receiver_X,Receiver_Y,Receiver_Z
271,4.5,3.5,3.5,87.5,55.125,2.2,1.4,1.5,1.0,1.0,1.5
272,4.5,3.5,3.5,87.5,55.125,1.0,2.2,1.5,3.4,1.4,1.5
273,4.5,3.5,3.5,87.5,55.125,3.0,2.2,1.5,1.0,1.4,1.5
274,4.5,3.5,4,95.5,63.0,2.2,1.4,1.5,1.0,1.0,1.5
275,4.5,3.5,4,95.5,63.0,1.0,2.2,1.5,3.4,1.4,1.5
276,4.5,3.5,4,95.5,63.0,3.0,2.2,1.5,1.0,1.4,1.5
277,4.5,4,2.5,78.5,45.0,1.8,3.0,1.5,3.0,2.2,1.5
278,4.5,4,2.5,78.5,45.0,1.0,1.4,1.5,2.2,1.0,1.5
279,4.5,4,2.5,78.5,45.0,1.0,1.0,1.5,3.4,3.0,1.5
280,4.5,4,3,87.0,54.0,1.8,3.0,1.5,3.0,2.2,1.5
281,4.5,4,3,87.0,54.0,1.0,1.4,1.5,2.2,1.0,1.5
282,4.5,4,3,87.0,54.0,1.0,1.0,1.5,3.4,3.0,1.5
283,4.5,4,3.5,95.5,63.0,1.8,3.0,1.5,3.0,2.2,1.5
284,4.5,4,3.5,95.5,63.0,1.0,1.4,1.5,2.2,1.0,1.5
285,4.5,4,3.5,95.5,63.0,1.0,1.0,1.5,3.4,3.0,1.5
286,4.5,4,4,104.0,72.0,1.8,3.0,1.5,3.0,2.2,1.5
287,4.5,4,4,104.0,72.0,1.0,1.4,1.5,2.2,1.0,1.5
288,4.5,4,4,104.0,72.0,1.0,1.0,1.5,3.4,3.0,1.5
289,4.5,4.5,2.5,85.5,50.625,3.0,3.4,1.5,2.2,1.4,1.5
290,4.5,4.5,2.5,85.5,50.625,1.0,1.4,1.5,3.4,1.0,1.5
291,4.5,4.5,2.5,85.5,50.625,3.0,3.0,1.5,1.0,1.8,1.5
292,4.5,4.5,3,94.5,60.75,3.0,3.4,1.5,2.2,1.4,1.5
