filename,RT60_RT20,Corr_RT60_RT20,RT60_RT30,Corr_RT60_RT30
RIR_041_case8.wav,0.625,0.999,0.735,0.998
RIR_041_case9.wav,0.395,0.997,0.523,0.994
RIR_042_case0.wav,0.15,0.993,0.227,0.99
RIR_042_case1.wav,0.118,0.999,0.144,0.998
RIR_042_case2.wav,1.89,0.998,2.342,0.996
RIR_042_case3.wav,0.107,0.999,0.121,0.999
RIR_042_case4.wav,0.103,0.999,0.14,0.996
RIR_042_case5.wav,0.376,0.998,0.453,0.997
RIR_042_case6.wav,0.562,0.995,0.628,0.996
RIR_042_case7.wav,0.591,0.996,0.782,0.993
RIR_042_case8.wav,0.628,0.999,0.698,0.999
RIR_042_case9.wav,0.385,0.996,0.511,0.994
RIR_043_case0.wav,0.168,0.997,0.262,0.99
RIR_043_case1.wav,0.129,0.999,0.16,0.997
RIR_043_case2.wav,1.985,0.998,2.385,0.997
RIR_043_case3.wav,0.117,1.0,0.135,0.999
RIR_043_case4.wav,0.121,1.0,0.16,0.997
RIR_043_case5.wav,0.37,0.999,0.457,0.997
RIR_043_case6.wav,0.479,0.998,0.716,0.99
RIR_043_case7.wav,0.691,0.994,0.919,0.993
RIR_043_case8.wav,0.631,0.999,0.73,0.998
RIR_043_case9.wav,0.416,0.995,0.636,0.991
RIR_044_case0.wav,0.172,0.996,0.261,0.99
RIR_044_case1.wav,0.136,0.999,0.176,0.997
RIR_044_case2.wav,1.985,0.998,2.382,0.997
RIR_044_case3.wav,0.125,1.0,0.141,0.999
RIR_044_case4.wav,0.119,1.0,0.158,0.996
RIR_044_case5.wav,0.381,0.999,0.424,0.999
RIR_044_case6.wav,0.491,0.998,0.806,0.99
RIR_044_case7.wav,0.726,0.995,0.848,0.995
RIR_044_case8.wav,0.626,0.999,0.74,0.998
RIR_044_case9.wav,0.389,0.997,0.527,0.994
RIR_045_case0.wav,0.168,0.998,0.25,0.992
RIR_045_case1.wav,0.129,1.0,0.162,0.997
RIR_045_case2.wav,1.994,0.998,2.378,0.997
RIR_045_case3.wav,0.12,1.0,0.139,0.999
RIR_045_case4.wav,0.124,0.998,0.158,0.998
RIR_045_case5.wav,0.422,0.999,0.491,0.998
RIR_045_case6.wav,0.618,0.996,0.679,0.997
RIR_045_case7.wav,0.68,0.996,0.832,0.994
RIR_045_case8.wav,0.627,0.999,0.696,0.999
RIR_045_case9.wav,0.384,0.997,0.512,0.994
RIR_046_case0.wav,0.16,0.997,0.261,0.989
RIR_046_case1.wav,0.13,0.999,0.162,0.998
RIR_046_case2.wav,2.024,0.998,2.411,0.997
RIR_046_case3.wav,0.121,1.0,0.14,0.999
RIR_046_case4.wav,0.118,1.0,0.165,0.996
RIR_046_case5.wav,0.392,0.999,0.458,0.997
RIR_046_case6.wav,0.487,0.997,0.729,0.99
RIR_046_case7.wav,0.718,0.993,0.98,0.992
RIR_046_case8.wav,0.63,0.999,0.73,0.998
RIR_046_case9.wav,0.418,0.995,0.636,0.991
RIR_047_case0.wav,0.178,0.996,0.265,0.991
RIR_047_case1.wav,0.14,0.999,0.181,0.997
RIR_047_case2.wav,2.014,0.999,2.429,0.997
RIR_047_case3.wav,0.124,1.0,0.146,0.999
RIR_047_case4.wav,0.132,0.999,0.18,0.995
RIR_047_case5.wav,0.404,0.999,0.46,0.999
RIR_047_case6.wav,0.479,0.998,0.804,0.991
RIR_047_case7.wav,0.728,0.994,0.861,0.994
RIR_047_case8.wav,0.63,0.999,0.735,0.998
RIR_047_case9.wav,0.391,0.997,0.526,0.994
RIR_048_case0.wav,0.157,0.999,0.259,0.991
RIR_048_case1.wav,0.136,0.999,0.173,0.997
RIR_048_case2.wav,2.016,0.998,2.465,0.997
